"";"locus_id";"symbol";"why"
"1";"LOC_Os01g04750";NA;"ap2 expressed in Branch Meristem"
"2";"LOC_Os08g31580";"OsERF48|OsDRAP1";"ap2 expressed in Branch Meristem"
"3";"LOC_Os04g46440";NA;"ap2 expressed in Branch Meristem"
"4";"LOC_Os04g52090";"OsAP2-39";"ap2 expressed in Branch Meristem"
"5";"LOC_Os05g41780";NA;"ap2 expressed in Branch Meristem"
"6";"LOC_Os01g04800";"OsRAV2";"ap2 expressed in Branch Meristem"
"7";"LOC_Os03g08500";"OsBIERF4";"ap2 expressed in Branch Meristem"
"8";"LOC_Os04g48350";"OsDREB1E|OsDREB1-1|CR350";"ap2 expressed in Branch Meristem"
"9";"LOC_Os01g58420";"AP37|OsERF3";"ap2 expressed in Branch Meristem"
"10";"LOC_Os09g35010";"OsDREB1B";"ap2 expressed in Branch Meristem"
"11";"LOC_Os04g55560";"SHAT1";"ap2 expressed in Branch Meristem"
"12";"LOC_Os09g35030";"OsDREB1A|OsDREBL|OsCBF3";"ap2 expressed in Branch Meristem"
"13";"LOC_Os04g57340";NA;"ap2 expressed in Branch Meristem"
"14";"LOC_Os09g35020";NA;"ap2 expressed in Branch Meristem"
"15";"LOC_Os04g46220";"OsERF1";"ap2 expressed in Branch Meristem"
"16";"LOC_Os02g45450";NA;"ap2 expressed in Branch Meristem"
"17";"LOC_Os03g07940";NA;"ap2 expressed in Branch Meristem"
"18";"LOC_Os02g43940";"OsDREB4-1|CR223";"ap2 expressed in Branch Meristem"
"19";"LOC_Os09g11460";"Sub1C";"ap2 expressed in Branch Meristem"
"20";"LOC_Os01g49830";NA;"ap2 expressed in Branch Meristem"
"21";"LOC_Os01g21120";NA;"ap2 expressed in Branch Meristem"
"22";"LOC_Os03g09170";NA;"ap2 expressed in Branch Meristem"
"23";"LOC_Os01g59780";NA;"ap2 expressed in Branch Meristem"
"24";"LOC_Os02g43970";"ARAG1";"ap2 expressed in Branch Meristem"
"25";"LOC_Os02g43790";"AP59|OsBIERF3|OsAP59";"ap2 expressed in Branch Meristem"
