"";"locus_id";"symbol";"DESCRIPTION";"why"
"1";"LOC_Os03g28990";NA;"zinc finger family protein, putative, expressed";"zinc finger, many - different"
"2";"LOC_Os05g50270";"NL1";"GATA zinc finger domain containing protein, expressed";"zinc finger, many - different"
"3";"LOC_Os06g50370";NA;"zinc finger, C3HC4 type, domain containing protein, expressed";"zinc finger, many - different"
"4";"LOC_Os09g25440";NA;"ZOS9-08 - C2H2 zinc finger protein, expressed";"zinc finger, many - different"
"5";"LOC_Os08g36390";NA;"ZOS8-07 - C2H2 zinc finger protein, expressed";"zinc finger, many - different"
"6";"LOC_Os02g12790";"Cga1";"GATA zinc finger domain containing protein, expressed";"zinc finger, many - different"
"7";"LOC_Os04g42980";NA;"zinc finger family protein, putative, expressed";"zinc finger, many - different"
"8";"LOC_Os04g36650";"NSG";"ZOS4-06 - C2H2 zinc finger protein, expressed";"zinc finger, many - different"
"9";"LOC_Os06g40960";NA;"ZOS6-05 - C2H2 zinc finger protein, expressed";"zinc finger, many - different"
"10";"LOC_Os05g51830";"OsHDT1|HDT701";"ZOS5-12 - C2H2 zinc finger protein, expressed";"zinc finger, many - different"
"11";"LOC_Os03g21160";NA;"RNA-binding zinc finger protein, putative, expressed";"zinc finger, many - different"
"12";"LOC_Os02g09820";NA;"zinc finger, C3HC4 type domain containing protein, expressed";"zinc finger, many - different"
"13";"LOC_Os10g40660";NA;"ZOS10-07 - C2H2 zinc finger protein, expressed";"zinc finger, many - different"
"14";"LOC_Os06g16370";"Hd1";"CCT/B-box zinc finger protein, putative, expressed";"zinc finger, many - different"
"15";"LOC_Os03g15790";NA;"ZOS3-08 - C2H2 zinc finger protein, expressed";"zinc finger, many - different"
"16";"LOC_Os01g06550";NA;"NF-X1-type zinc finger protein, putative, expressed";"zinc finger, many - different"
"17";"LOC_Os01g67970";"JMJ705";"ZOS1-20 - C2H2 zinc finger protein, expressed";"zinc finger, many - different"
