locus_id,gene_name,why_interesting,check
LOC_Os01g04800,OsRAV2,"AP2, has primers,  indica  outlier",ok
LOC_Os01g12440,ERF53,"AP2,has primers, behave different in nipponbare and glaberrima",maybe
LOC_Os01g21120,ERF68,"AP2, has primers, in cl3,  indica japonica outlier",ok
LOC_Os01g58420,ERF3,"AP2, has primers, in cl3,  indica outlier",ok
LOC_Os03g08500,ERF64,"AP2, has primers,  indica  outlier,",ok
LOC_Os03g60430,OsIDS1,"AP2, has primers, in cl4,  indica  outlier opposite pattern",maybe
LOC_Os04g46220,ERF93,"AP2, has primers, in cl3  behaves (kind of) differently in asian",maybe
LOC_Os04g55560,SHAT1,"AP2, has primers,  flat",maybe
LOC_Os05g32270,ERF142,"AP2, has primers,  behaves (kind of) differently in asian",maybe
LOC_Os06g40150,ERF1,"AP2, has primers, behaves differently in domesticated",maybe
LOC_Os08g31580,ERF48,"AP2, has primers,  in cl6, behaves (kind of) differently in domesticated",maybe
LOC_Os09g13940,OsERF109,"AP2, has primers,  in cl1,  indica and glaberrima  outlier",maybe
LOC_Os09g20350,ERF50,"Ap2, has primers, related to continent",ok
LOC_Os02g42950,OsYABBY4,"Yabby, pc5, organ diff., earlier in african, later in asian, latest in indica",ok
LOC_Os04g45330,OsYABBY5,"Yabby, pc5, organ diff., earlier in african, later in asian, latest in indica",ok
LOC_Os10g36420,OsYABBY3,"Yabby, pc5, organ diff., earlier in african, later in asian, latest in indica",ok
LOC_Os04g51000,APO2,"LFY, pc5, indet. state. why is it expressed in SM?",ok
LOC_Os01g52680,OsMADS32,"MADS, pc5, organ diff, sharp in african, less in asian, even less in indica",ok
LOC_Os02g45770,OsMADS6,"MADS, pc5, organ diff, sharp in african, less in asian, even less in indica",ok
LOC_Os03g11614,OsMADS1,"MADS, pc5, organ diff, sharp in african, less in asian, even less in indica",ok
LOC_Os03g54160,OsMADS14,"MADS, pc5, organ diff, sharp in african, less in asian, even less in indica",ok
LOC_Os03g54170,OsMADS34,"MADS, pc5, organ diff, sharp in african, less in asian, even less in indica",ok
LOC_Os04g49150,NA,"MADS, pc5, organ diff, sharp in african, less in asian, even less in indica",ok
LOC_Os06g06750,OsMADS5,"MADS, pc5, organ diff, sharp in african, less in asian, even less in indica",ok
LOC_Os07g01820,OsMADS15,"MADS, pc5, organ diff, sharp in african, less in asian, even less in indica",ok
LOC_Os01g04750,NA,"AP2, pc5 meristem mainteance? Sharp in african, less in asian, even less in indica",ok
LOC_Os04g46440,NA,"AP2, pc5 meristem mainteance? Sharp in wild, less in indica",ok
LOC_Os04g48350,OsDREB1E,"AP2, pc5 meristem mainteance? Sharp in african, less in asian, even less in indica",ok
LOC_Os04g52090,OsAP2-39,"AP2, pc5 meristem mainteance? Sharp in african, less in asian, even less in indica",ok
LOC_Os04g55560,SHAT1,"AP2, pc5 meristem mainteance? Sharp in african, less in asian, even less in indica",ok
LOC_Os05g41780,NA,"AP2, pc5 meristem mainteance? Sharp in wild, less in indica",ok
LOC_Os09g35030,OsDREB1A,"AP2, pc5 meristem mainteance?, inverted in indica",ok
LOC_Os03g08754,OsMDP1,"MADS,pc5 meristem maintenance?, less sharp in wild",ok
LOC_Os06g01890,NA,"MADS, pc5, sharper in africans",ok
LOC_Os04g43560,NA,"NAC, pc5, Sharp in wild, less in domesticated, even less in indica",ok
LOC_Os03g60080,NAC19,"NAC, pc5, Sharp in wild, less in domesticated, even less in indica",ok

